VisaType,countries,date_gov,date,delay,delay_days,category
1st,"CHINA-
 mainland 
 born",2022-06-01,2022-06-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-05-01,2022-05-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-04-01,2022-04-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-03-01,2022-03-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2022-02-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-01-01,2022-01-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-07-01,395 days,395.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-06-01,365 days,365.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-05-01,334 days,334.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-04-01,304 days,304.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-03-01,273 days,273.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-02-01,245 days,245.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-01-01,214 days,214.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-12-01,2022-12-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-11-01,2022-11-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-10-01,2022-10-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-09-01,2022-09-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-08-01,2022-08-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-07-01,2022-07-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2022-06-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-05-01,2022-05-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-04-01,2022-04-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-03-01,2022-03-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2022-02-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-01-01,2022-01-01,0 days,0.0,EB1 Priority Date
